"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133"
"1",1,1,1,1,0.999370078740157,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7319257837492,0.739821882951654,0.740247383444339,0.738784600699968,0.736168851934762,0.731469849246231,0.737408932530884,0.739527559055118,0.729404309252218,0.735321821036107,0.741511851377322,0,0,0,0,0,0,0,0,0,0,0,0,0.836392405063291,0.847284345047923,0.845370664969774,0.836559822278642,0.840694006309148,0.840435757769946,0.794944707740916,0.743354430379747,0.741632780731936,0.83837098313713,0.840543100726239,0.844789356984479,0,0,0,0,0,0,0,0,0,0,0,0,0.76687898089172,0.769623484365029,0.770418006430868,0.768147684605757,0.77060350421804,0.764445847805494,0.768935762224353,0.768866435112094,0.77319911921988,0.767879948914432,0.775490816972768,0,0,0,0,0,0,0,0,0,0.708840486867393,0.715233881163085,0.732739420935412,0.733417962551571,0.721785602011946,0.712230215827338,0.717356432467116,0.723417721518987,0.721587301587302,0.710717673095163,0,0,0,0,0,0,0,0,0,0,0,0.832318050657262,0.831829896907217,0.827298942646588,0.82382762991128,0.823251417769376,0.820683111954459,0.820297349709114,0.825699745547074,0.825786163522013,0.820914214151534,0.822101564995209,0,0,0,0,0,0,0,0,0,0
"2",1,1,1,1,0.999690976514215,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.737090680100756,0.740508315029809,0.747427502338634,0.738050314465409,0.739747634069401,0.734145579506404,0.739238927011853,0.742095474271544,0.733855799373041,0.736171535114978,0.744398863994951,0,0,0,0,0,0,0,0,0,0,0,0,0.837566635308874,0.842848180677541,0.840561622464899,0.835526315789474,0.839950372208437,0.838152105593966,0.791072535647861,0.741466498103666,0.739157566302652,0.837468982630273,0.841417910447761,0.843346964454231,0,0,0,0,0,0,0,0,0,0,0,0,0.761424519382288,0.765674477517416,0.766393442622951,0.767119062307218,0.767307692307692,0.762168823166975,0.765315739868049,0.763703933106225,0.775579598145286,0.765058341217282,0.766541822721598,0,0,0,0,0,0,0,0,0,0.69787369089178,0.706821026282854,0.727558066541117,0.7252027448534,0.713130056004978,0.705699159140455,0.709514807813485,0.711821887739103,0.712140175219024,0.701947236180904,0,0,0,0,0,0,0,0,0,0,0,0.829398803903053,0.825267127592709,0.825716987078475,0.820722135007849,0.818777292576419,0.816993464052288,0.819050653074227,0.820834640727957,0.822243049047173,0.817399323701199,0.821012897137465,0,0,0,0,0,0,0,0,0,0
"3",1,1,1,1,0.999687402313223,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.733799237611182,0.738117721120554,0.741541353383459,0.736395092796477,0.735537190082645,0.727934198038595,0.734700315457413,0.7359900373599,0.730926216640502,0.737915881983679,0.741679873217116,0,0,0,0,0,0,0,0,0,0,0,0,0.834911616161616,0.844135314574771,0.839824120603015,0.833385530848732,0.836607421265981,0.836728198599618,0.790618204411308,0.740139949109415,0.736465463596764,0.835439039797852,0.842254408060453,0.842105263157895,0,0,0,0,0,0,0,0,0,0,0,0,0.764817749603803,0.767612368504941,0.770111287758347,0.766314481044127,0.770162575709276,0.764632237871674,0.766993360733481,0.766116474618499,0.775086505190311,0.769181991122384,0.7696875,0,0,0,0,0,0,0,0,0,0.705938697318008,0.71307619943556,0.729601518026565,0.729780564263323,0.716207759699625,0.711111111111111,0.712460063897764,0.718287692791942,0.71608040201005,0.704323130325024,0,0,0,0,0,0,0,0,0,0,0,0.829391359192684,0.827105763141229,0.826485461441214,0.819796954314721,0.819509164336751,0.817007874015748,0.816280566280566,0.822544995263656,0.822887433738697,0.819370912488321,0.822652284263959,0,0,0,0,0,0,0,0,0,0
"4",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.735181644359465,0.739826978532522,0.742486554887694,0.741500962155228,0.734993614303959,0.729971273539738,0.738261421319797,0.742209631728045,0.730793650793651,0.738170347003155,0.743416827231856,0,0,0,0,0,0,0,0,0,0,0,0,0.834982444940951,0.843769968051118,0.842472266244057,0.83083306734759,0.838750394446198,0.837179487179487,0.796214511041009,0.743157224697645,0.740329740012682,0.838760670249763,0.839987325728771,0.843037974683544,0,0,0,0,0,0,0,0,0,0,0,0,0.763241863433312,0.768064516129032,0.76873592795111,0.767689417658109,0.772213247172859,0.762385610602714,0.76873798846893,0.767711598746082,0.774714828897338,0.766881028938907,0.774652338811631,0,0,0,0,0,0,0,0,0,0.706979736249598,0.716886377903327,0.732761360025421,0.733164717040784,0.721526908635795,0.71576308367283,0.715978226064681,0.720165922144225,0.72192344194875,0.708864795918367,0,0,0,0,0,0,0,0,0,0,0,0.839251743817375,0.836655948553055,0.83552,0.830176565008026,0.831552482715273,0.82879746835443,0.827922077922078,0.830444374409077,0.833856783919598,0.827230046948357,0.831892411143132,0,0,0,0,0,0,0,0,0,0
"5",0.999370078740157,0.999690976514215,0.999687402313223,1,1,0.999371266897202,0.999684642068748,1,1,0.999691453255168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.741428122050959,0.743179680150517,0.746259351620948,0.742758186397985,0.743974960876369,0.737386399247885,0.743565599497803,0.743510506798517,0.734335839598998,0.741814780168382,0.749048223350254,0,0,0,0,0,0,0,0,0,0,0,0,0.838932496075353,0.850062735257215,0.845576742732104,0.83838699593623,0.842105263157895,0.838300570703868,0.79764121663563,0.746399499060739,0.743230625583567,0.840597758405978,0.842270304170586,0.845814977973568,0,0,0,0,0,0,0,0,0,0,0,0,0.768915510718789,0.774737511931276,0.775094102885822,0.772699004975124,0.77234993614304,0.771880819366853,0.771464646464647,0.770994731949179,0.779366065879428,0.773101265822785,0.777115987460815,0,0,0,0,0,0,0,0,0,0.706929434202161,0.719913151364764,0.73511811023622,0.734713076199436,0.722618678250078,0.715756630265211,0.722169662567014,0.721910112359551,0.724759242000621,0.710930159724397,0,0,0,0,0,0,0,0,0,0,0,0.839598997493734,0.835486920895052,0.835915270312994,0.828831658291457,0.828873677660236,0.825625,0.822817080943276,0.830566865017225,0.83073566084788,0.829787234042553,0.833280507131537,0,0,0,0,0,0,0,0,0,0
"6",1,1,1,1,0.999371266897202,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.73305493093479,0.738643634037108,0.745196850393701,0.740255591054313,0.734897172236504,0.731329113924051,0.735576923076923,0.738979848866499,0.729678036340453,0.731955484896661,0.741956241956242,0,0,0,0,0,0,0,0,0,0,0,0,0.832,0.8448,0.84043229497775,0.831802343997466,0.833807266982622,0.834509300833868,0.793615676359039,0.737808739708676,0.736643620364551,0.834338305299905,0.838883602917856,0.841061720498881,0,0,0,0,0,0,0,0,0,0,0,0,0.76419910657307,0.766752577319588,0.767696267696268,0.765001570845115,0.768880208333333,0.764816556914393,0.769059011164274,0.767449139280125,0.778519224658405,0.766188197767145,0.7735368956743,0,0,0,0,0,0,0,0,0,0.705578845533699,0.716049382716049,0.730365659777425,0.732007575757576,0.717754651529486,0.7134318968229,0.71304347826087,0.713331212217627,0.720643939393939,0.706333973128599,0,0,0,0,0,0,0,0,0,0,0,0.832112137623447,0.832693538067818,0.828084832904884,0.823921319796954,0.82120253164557,0.823008849557522,0.82345319080013,0.82651443070092,0.824849826114448,0.822104936355169,0.823566878980892,0,0,0,0,0,0,0,0,0,0
"7",1,1,1,1,0.999684642068748,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.737668161434978,0.742656449553001,0.744356120826709,0.743402225755167,0.741801973893664,0.733015873015873,0.736792154381525,0.740588421385637,0.732821987855545,0.739390128890286,0.746057289990344,0,0,0,0,0,0,0,0,0,0,0,0,0.834917617237009,0.845393688237169,0.840887480190174,0.83550333439187,0.837898089171975,0.836486053222187,0.789706346700347,0.737857832100354,0.736377952755906,0.834874083519286,0.838934686112873,0.842356687898089,0,0,0,0,0,0,0,0,0,0,0,0,0.758245276977265,0.762668377164849,0.764157014157014,0.762547051442911,0.763920547053077,0.762733312242961,0.76096,0.759206798866855,0.767023959646911,0.763700838168923,0.765659777424483,0,0,0,0,0,0,0,0,0,0.701223438506117,0.71238517579981,0.727388942154043,0.72747461928934,0.716861752609934,0.713293337543417,0.71227621483376,0.714103788602356,0.721150806196649,0.702711323763955,0,0,0,0,0,0,0,0,0,0,0,0.830242966751918,0.82887189292543,0.824493731918997,0.818910256410256,0.816950220541903,0.818702290076336,0.817681347150259,0.823042647994908,0.822432859399684,0.820049813200498,0.823586118251928,0,0,0,0,0,0,0,0,0,0
"8",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.738178356077436,0.7428662016487,0.744346733668342,0.744303797468354,0.740350877192982,0.732554467950742,0.738978750396448,0.740671641791045,0.734370041256744,0.737205651491366,0.744274809160305,0,0,0,0,0,0,0,0,0,0,0,0,0.832335329341317,0.845101781170484,0.839127686472819,0.832705586942875,0.834065244667503,0.831889637471928,0.797919293820933,0.745202893991821,0.740682743501409,0.834437086092715,0.839583989914907,0.842022116903633,0,0,0,0,0,0,0,0,0,0,0,0,0.770408163265306,0.775079872204473,0.776357827476038,0.775706741223983,0.776557959315467,0.773685867170286,0.772192173083042,0.774153074027603,0.781289506953224,0.775497316071992,0.781407035175879,0,0,0,0,0,0,0,0,0,0.707721761327377,0.72206572769953,0.739266687558759,0.737322834645669,0.724859462835728,0.721096914926768,0.716698534098152,0.723276407337128,0.727100442198358,0.712101910828025,0,0,0,0,0,0,0,0,0,0,0,0.836236933797909,0.834285714285714,0.830465264499681,0.823361823361823,0.826317430620518,0.824732536186281,0.819787985865724,0.830734966592428,0.830348727615457,0.827338129496403,0.831003811944091,0,0,0,0,0,0,0,0,0,0
"9",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.737408932530884,0.740893253088375,0.743243243243243,0.746843434343434,0.744032663316583,0.737586423632935,0.740424184868629,0.743887147335423,0.737059383931407,0.739226171752123,0.747221340107971,0,0,0,0,0,0,0,0,0,0,0,0,0.836294416243655,0.847522236340534,0.842789223454834,0.835646687697161,0.838276615672807,0.837915601023018,0.797444686818323,0.745408486383787,0.744875433617155,0.837590665405235,0.841130298273155,0.845883854499043,0,0,0,0,0,0,0,0,0,0,0,0,0.770919503658925,0.77421423989737,0.777388535031847,0.774844720496894,0.77741831122614,0.77291210509853,0.773813316342784,0.773250388802488,0.783664459161148,0.778267716535433,0.781709990604447,0,0,0,0,0,0,0,0,0,0.705038265306122,0.71608832807571,0.731808071178901,0.731071316368206,0.723729342064234,0.715616268239677,0.715705128205128,0.719735182849937,0.72,0.707472178060413,0,0,0,0,0,0,0,0,0,0,0,0.834862385321101,0.833015873015873,0.832015185068016,0.825165981662978,0.826549780839073,0.824780976220275,0.822869955156951,0.826972010178117,0.825352112676056,0.823456407074154,0.829152111781518,0,0,0,0,0,0,0,0,0,0
"10",1,1,1,1,0.999691453255168,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.736759636477593,0.741985683162154,0.743955362678239,0.741765071472965,0.737797246558198,0.731487243310517,0.739943872778297,0.740396530359356,0.735175411362931,0.738859457775008,0.743921692453426,0,0,0,0,0,0,0,0,0,0,0,0,0.837289194253591,0.848446815186696,0.843604831217095,0.836505460218409,0.838030349953546,0.840151038388924,0.797096973440395,0.742197253433209,0.74145891043398,0.838157485216309,0.840409048651999,0.8453125,0,0,0,0,0,0,0,0,0,0,0,0,0.763058527375708,0.765917009819449,0.765984251968504,0.769041769041769,0.769961977186312,0.764451313755796,0.768941765810895,0.768633540372671,0.773813217499224,0.766718995290424,0.771481942714819,0,0,0,0,0,0,0,0,0,0.705103969754253,0.71304347826087,0.731684408265498,0.732442510876321,0.723010487353485,0.714596273291925,0.715776161871641,0.721511083359351,0.716863721219664,0.709555345316935,0,0,0,0,0,0,0,0,0,0,0,0.834859488474897,0.833696667704765,0.828947368421053,0.823711980136561,0.825176977531548,0.825628296618058,0.82509505703422,0.827672955974843,0.830071450761106,0.826568265682657,0.827737684342642,0,0,0,0,0,0,0,0,0,0
