"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133"
"1",1,1,1,1,0.995905511811024,0.999363260108246,0.998404594767071,0.993273542600897,0.994303797468354,0.999689440993789,0.996549560853199,0.993956743002545,0,0,0,0,0,0,0,0,0,0,0,0,0.300383877159309,0.30089058524173,0.298128766254361,0.304486159720013,0.307003517748641,0.300565326633166,0.306303452644916,0.303622047244094,0.307984790874525,0.302040816326531,0.303010890454837,0,0,0,0,0,0,0,0,0,0,0,0,0.46993670886076,0.475399361022364,0.474705695195673,0.471596318629007,0.463091482649842,0.469721243191285,0.372511848341232,0.296518987341772,0.296527994995308,0.46706967865097,0.475213135459425,0.470700031675641,0,0,0,0,0,0,0,0,0,0,0,0,0.364649681528662,0.363114231014678,0.362379421221865,0.359198998748436,0.369240752757949,0.366592990211557,0.369127516778524,0.365961477739185,0.369927650204467,0.363026819923372,0.366371120962635,0,0,0,0,0,0,0,0,0,0.286354900704677,0.290139064475348,0.304486159720013,0.307204062202475,0.298962590380384,0.291523303096653,0.289059993583574,0.293354430379747,0.291111111111111,0.286120771419538,0,0,0,0,0,0,0,0,0,0,0,0.478358448220584,0.477126288659794,0.473566164690804,0.461026615969582,0.461877756773787,0.469006957621758,0.466709760827408,0.475508905852417,0.463207547169811,0.467752035065748,0.471095496646439,0,0,0,0,0,0,0,0,0,0
"2",1,1,1,1,0.995055624227441,0.999372253609542,0.999048826886493,0.993716619541313,0.993451824134705,0.999690114657577,0.997202362449487,0.994047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0.292191435768262,0.292438029494823,0.291549734954786,0.29748427672956,0.297476340694006,0.295845048422368,0.297878976918278,0.299132052076875,0.304075235109718,0.297700435052828,0.295045755758915,0,0,0,0,0,0,0,0,0,0,0,0,0.467544684854186,0.469573400250941,0.474258970358814,0.469611528822055,0.46060794044665,0.470144563167819,0.373837569745815,0.297724399494311,0.295163806552262,0.464330024813896,0.472636815920398,0.466184334696445,0,0,0,0,0,0,0,0,0,0,0,0,0.357390482193508,0.357504749841672,0.359709962168979,0.351943244910549,0.357051282051282,0.361367837338262,0.360980207351555,0.356457107463611,0.365069551777434,0.357300536108483,0.35705368289638,0,0,0,0,0,0,0,0,0,0.285306251983497,0.293491864831039,0.306340238543628,0.311915159076731,0.300871188550093,0.291497975708502,0.290170132325142,0.294136092819066,0.285982478097622,0.289572864321608,0,0,0,0,0,0,0,0,0,0,0,0.480012590494177,0.481143934632307,0.478096438701544,0.466248037676609,0.466936993137867,0.470588235294118,0.468939152596368,0.481644179479134,0.464542330521712,0.475561020596373,0.475935828877005,0,0,0,0,0,0,0,0,0,0
"3",1,1,1,1,0.994685839324789,0.99936628643853,0.998412698412698,0.992733017377567,0.993062125512457,0.999687890137328,0.996899224806202,0.99330570608862,0,0,0,0,0,0,0,0,0,0,0,0,0.296060991105464,0.294302801384954,0.292919799498747,0.300094369298522,0.301017164653528,0.294210692818728,0.299369085173502,0.295765877957659,0.303296703296703,0.301318267419962,0.295721077654517,0,0,0,0,0,0,0,0,0,0,0,0,0.470328282828283,0.479291811571293,0.480527638190955,0.473535859693079,0.467726847521048,0.477084659452578,0.370611991301646,0.300572519083969,0.300248911014312,0.469993682880606,0.478589420654912,0.471147748890298,0,0,0,0,0,0,0,0,0,0,0,0,0.358795562599049,0.360854319413452,0.354213036565978,0.350217526413922,0.357347784507491,0.355555555555556,0.361998103066709,0.356898162566179,0.364580056621579,0.353836398224477,0.355625,0,0,0,0,0,0,0,0,0,0.284802043422733,0.290059579805582,0.305186590765338,0.307523510971787,0.295056320400501,0.291392801251956,0.289456869009585,0.29241422725842,0.291143216080402,0.287787945724203,0,0,0,0,0,0,0,0,0,0,0,0.471775465152949,0.475934135528816,0.469974715549937,0.460659898477157,0.456974215594905,0.462047244094488,0.465250965250965,0.471108304389012,0.460243217960711,0.466521332918094,0.467005076142132,0,0,0,0,0,0,0,0,0,0
"4",1,1,1,1,0.995561192136969,0.999357945425361,0.998719590268886,0.993333333333333,0.993618379068283,0.999685237645578,0.997163567601639,0.993935525055857,0,0,0,0,0,0,0,0,0,0,0,0,0.296367112810707,0.296699775712913,0.289149003479911,0.292174470814625,0.2985312899106,0.294605809128631,0.296954314720812,0.296191375511489,0.304126984126984,0.299053627760252,0.297687861271676,0,0,0,0,0,0,0,0,0,0,0,0,0.465368656240026,0.478594249201278,0.47068145800317,0.464411107564635,0.46418428526349,0.468589743589744,0.378233438485804,0.300127307447486,0.300253646163602,0.467277900727158,0.472116603295311,0.467721518987342,0,0,0,0,0,0,0,0,0,0,0,0,0.364390555201021,0.363548387096774,0.361852685751045,0.359423919849718,0.364781906300485,0.360366046071316,0.371236386931454,0.364890282131661,0.370722433460076,0.363022508038585,0.365676359039191,0,0,0,0,0,0,0,0,0,0.285944033451271,0.294413057124922,0.30791229742612,0.312361681947518,0.302252816020025,0.292384832340959,0.28786423310919,0.296426292278239,0.290414425814616,0.291772959183673,0,0,0,0,0,0,0,0,0,0,0,0.4857324032974,0.492282958199357,0.48224,0.475441412520064,0.47171590194846,0.477215189873418,0.477597402597403,0.48502994011976,0.474560301507538,0.482316118935837,0.480627601665066,0,0,0,0,0,0,0,0,0,0
"5",0.995905511811024,0.995055624227441,0.994685839324789,0.995561192136969,1,0.995284501729016,0.995584988962472,1,1,0.995371798827522,0.9953300124533,0.99906191369606,0,0,0,0,0,0,0,0,0,0,0,0,0.300094369298522,0.302602696770147,0.296758104738155,0.300377833753149,0.306729264475743,0.298965841429019,0.304456999372254,0.301606922126082,0.300751879699248,0.303398815091986,0.298857868020305,0,0,0,0,0,0,0,0,0,0,0,0,0.460596546310832,0.473023839397742,0.471084713973117,0.466083150984683,0.455309872313921,0.468294229549778,0.378026070763501,0.301502817783344,0.29474011826953,0.463262764632628,0.469112574474757,0.466645689112649,0,0,0,0,0,0,0,0,0,0,0,0,0.361601513240857,0.361756283805282,0.358218318695107,0.354477611940299,0.361111111111111,0.362507759155804,0.363636363636364,0.362565850635265,0.366376631448104,0.357278481012658,0.358620689655172,0,0,0,0,0,0,0,0,0,0.290527654164018,0.292493796526055,0.312755905511811,0.314518657886485,0.300961836798014,0.293291731669267,0.292652160201829,0.294943820224719,0.295122708915812,0.291888506107109,0,0,0,0,0,0,0,0,0,0,0,0.483395989974937,0.483769303498267,0.477078722731584,0.469849246231156,0.467019290603609,0.4746875,0.472912683237731,0.48042593172565,0.468827930174564,0.477644156645082,0.477654516640254,0,0,0,0,0,0,0,0,0,0
"6",0.999363260108246,0.999372253609542,0.99936628643853,0.999357945425361,0.995284501729016,1,0.999038153254248,0.993309971328449,0.99333121625913,1,0.996823379923761,0.993937460114869,0,0,0,0,0,0,0,0,0,0,0,0,0.299710889816897,0.302943058221369,0.297637795275591,0.304792332268371,0.305269922879177,0.303164556962025,0.306730769230769,0.307619647355164,0.306981192221868,0.304928457869634,0.300514800514801,0,0,0,0,0,0,0,0,0,0,0,0,0.46688,0.4736,0.47361729179911,0.469749762432689,0.464139020537125,0.473701090442591,0.369469026548673,0.302406586447118,0.296040226272784,0.465883846397969,0.472565810339359,0.469779341221618,0,0,0,0,0,0,0,0,0,0,0,0,0.357689853222719,0.354703608247423,0.351994851994852,0.349670122525919,0.358723958333333,0.359360301034807,0.359489633173844,0.353364632237872,0.36447410231967,0.350239234449761,0.354325699745547,0,0,0,0,0,0,0,0,0,0.289584005159626,0.297245963912631,0.310969793322735,0.315025252525253,0.303689687795648,0.294117647058824,0.294363929146538,0.30130448615972,0.295454545454545,0.291746641074856,0,0,0,0,0,0,0,0,0,0,0,0.473717744504619,0.476647472808701,0.470437017994859,0.466053299492386,0.459493670886076,0.469974715549937,0.463556851311953,0.476688867745005,0.46221941195068,0.468488047190314,0.470063694267516,0,0,0,0,0,0,0,0,0,0
"7",0.998404594767071,0.999048826886493,0.998412698412698,0.998719590268886,0.995584988962472,0.999038153254248,1,0.994553027875681,0.994580809690787,0.999369284137496,0.999053329125907,0.996492346938776,0,0,0,0,0,0,0,0,0,0,0,0,0.296925048046124,0.300766283524904,0.291891891891892,0.297615262321145,0.300541228907991,0.298412698412698,0.303068649161658,0.301170515659601,0.301693831895174,0.29707639107199,0.297071129707113,0,0,0,0,0,0,0,0,0,0,0,0,0.469264892268695,0.477526299011795,0.4770206022187,0.475706573515402,0.465605095541401,0.474190445655659,0.374486896116198,0.295271791572853,0.294488188976378,0.469556901498247,0.479074191502854,0.473885350318471,0,0,0,0,0,0,0,0,0,0,0,0,0.359269932756964,0.361128928800513,0.359073359073359,0.353513174404015,0.360468902637577,0.356849098386587,0.36512,0.357255272269437,0.364754098360656,0.359123146357189,0.358982511923688,0,0,0,0,0,0,0,0,0,0.292015453960077,0.297751029458347,0.310322786832854,0.317893401015228,0.303385004745334,0.295547837069782,0.298593350383632,0.297994269340974,0.296870060069554,0.295055821371611,0,0,0,0,0,0,0,0,0,0,0,0.478580562659847,0.481516889738687,0.476374156219865,0.466346153846154,0.465973534971645,0.469465648854962,0.470531088082902,0.479312539783577,0.468562401263823,0.475404732254047,0.477827763496144,0,0,0,0,0,0,0,0,0,0
"8",0.993273542600897,0.993716619541313,0.992733017377567,0.993333333333333,1,0.993309971328449,0.994553027875681,1,1,0.993765586034913,0.995920928773141,0.999048826886493,0,0,0,0,0,0,0,0,0,0,0,0,0.294509679466836,0.294546607482562,0.295226130653266,0.29873417721519,0.299202551834131,0.295547837069782,0.30034887408817,0.296952736318408,0.303395747381784,0.303610675039246,0.296437659033079,0,0,0,0,0,0,0,0,0,0,0,0,0.470217459817208,0.474236641221374,0.475979772439949,0.471437539234149,0.463613550815558,0.474173885145974,0.371059268600252,0.295690468700849,0.293454431569057,0.468306527909177,0.479041916167665,0.469194312796209,0,0,0,0,0,0,0,0,0,0,0,0,0.358418367346939,0.35814696485623,0.353993610223642,0.354457906182044,0.357119793348402,0.356625747560592,0.363347120585428,0.357277289836888,0.361251580278129,0.354278497000316,0.354585427135678,0,0,0,0,0,0,0,0,0,0.290682833439694,0.29452269170579,0.310560952679411,0.313385826771654,0.301374141161774,0.297600498597694,0.294455066921606,0.300442757748261,0.297536323436513,0.294267515923567,0,0,0,0,0,0,0,0,0,0,0,0.478618942033576,0.482539682539683,0.477374123645634,0.468502690724913,0.4614904895541,0.472624292007552,0.470285897847735,0.477251034043907,0.461200125667609,0.472630591179231,0.473634053367217,0,0,0,0,0,0,0,0,0,0
"9",0.994303797468354,0.993451824134705,0.993062125512457,0.993618379068283,1,0.99333121625913,0.994580809690787,1,1,0.993779160186625,0.995,0.99872245289045,0,0,0,0,0,0,0,0,0,0,0,0,0.299018055115616,0.30345264491606,0.298868636077938,0.302714646464646,0.308103015075377,0.301697045883092,0.303260525482748,0.302507836990596,0.305811368688473,0.300723497955332,0.300095268339155,0,0,0,0,0,0,0,0,0,0,0,0,0.461928934010152,0.470775095298602,0.47068145800317,0.465930599369085,0.45582266625039,0.468030690537084,0.371766905578062,0.298606713109563,0.295805739514349,0.463576158940397,0.469701726844584,0.464901084875558,0,0,0,0,0,0,0,0,0,0,0,0,0.362074451161311,0.36337395766517,0.363057324840764,0.358074534161491,0.364606923325785,0.366593681576478,0.367633004141446,0.365163297045101,0.36959949542731,0.361889763779528,0.361728781709991,0,0,0,0,0,0,0,0,0,0.291135204081633,0.294952681388013,0.313314267556403,0.314483191957273,0.301216089803555,0.296802235330643,0.299038461538462,0.299810844892812,0.2928125,0.294117647058824,0,0,0,0,0,0,0,0,0,0,0,0.479911420436571,0.482222222222222,0.480544131603923,0.468226367372747,0.465873512836569,0.470588235294118,0.469570787956438,0.479643765903308,0.4679186228482,0.47285138070121,0.472530962210225,0,0,0,0,0,0,0,0,0,0
"10",0.999689440993789,0.999690114657577,0.999687890137328,0.999685237645578,0.995371798827522,1,0.999369284137496,0.993765586034913,0.993779160186625,1,0.997213622291022,0.994350282485876,0,0,0,0,0,0,0,0,0,0,0,0,0.306800376057662,0.309368191721133,0.30409175449473,0.3088875077688,0.312891113892365,0.30491599253267,0.31244153414406,0.310099132589839,0.313877677739832,0.311000311623559,0.308178086517209,0,0,0,0,0,0,0,0,0,0,0,0,0.473454091193004,0.482271728898651,0.482192629296996,0.474258970358814,0.470114586559306,0.475141598489616,0.376466954910439,0.302122347066167,0.300092336103416,0.470276999688764,0.48032228075612,0.4740625,0,0,0,0,0,0,0,0,0,0,0,0,0.364065449968534,0.369021222679759,0.364409448818898,0.360565110565111,0.368187579214195,0.367851622874807,0.366311834690044,0.368012422360248,0.368290412659013,0.36043956043956,0.36799501867995,0,0,0,0,0,0,0,0,0,0.294265910522999,0.300310559006211,0.311834690043832,0.31727781230578,0.30505860579889,0.298136645962733,0.295605437875435,0.29847018420231,0.296826384567517,0.290760012614317,0,0,0,0,0,0,0,0,0,0,0,0.481844016419324,0.479912799750856,0.478696741854637,0.468963376784606,0.469990766389658,0.469438411417934,0.471799746514575,0.478301886792453,0.465983224603914,0.474477244772448,0.471917163476624,0,0,0,0,0,0,0,0,0,0
